alim_code	kcal	protein	glucid	lipid
19041	47.0	3.31	4.83	1.55
19042	46.4	3.13	4.9	1.54
19050	33.4	3.44	4.64	0.06
19051	34.5	3.21	4.99	0.19
19060	44.4	3.38	4.69	1.29
19200	56.1	3.33	4.35	2.83
19201	45.8	3.69	4.13	1.57
19202	57.4	3.15	4.01	3.2
19225	50.0	2.36	6.18	1.73
19250	103.0	5.56	4.5	6.97
19021	499.0	26.9	37.5	26.8
19026	122.0	6.31	9.91	5.9
19027	323.0	7.54	55.6	7.87
19044	459.0	30.8	43.4	17.5
19054	361.0	34.6	54.0	0.7
19508	73.7	2.92	11.6	1.4
19535	82.8	3.03	13.1	1.69
19539	94.4	3.75	11.5	3.1
19542	97.2	3.5	13.0	3.01
19546	64.5	3.77	3.47	3.6
19550	69.1	3.76	4.99	3.4
19553	93.7	4.94	9.33	3.7
19556	73.4	4.06	1.12	5.2
19559	54.5	4.44	8.29	0.06
19575	89.1	3.35	12.2	2.6
19580	122.0	3.44	14.1	5.1
19581	38.9	4.13	3.72	0.3
19587	95.7	3.54	14.2	2.4
19589	109.0	2.38	14.5	4.28
19593	45.5	3.88	2.65	1.5
19594	39.4	4.73	4.1	0.064
19598	115.0	3.0	3.08	9.8
19599	84.3	3.41	12.5	1.95
19600	56.8	3.8	4.73	2.3
19624	69.4	3.57	7.47	2.5
19628	93.1	3.14	12.8	2.89
19669	98.3	7.31	11.5	2.29
19671	42.4	4.2	4.92	0.13
19672	93.2	3.17	12.9	2.81
19675	42.4	4.2	4.92	0.13
19676	93.3	3.18	13.0	2.83
19677	93.2	3.18	13.0	2.83
19682	89.3	3.25	12.4	2.63
19801	33.6	3.44	2.18	0.6
19805	55.7	3.31	1.99	3.2
19501	87.7	6.95	5.68	4.31
19641	84.2	4.38	3.57	5.5
19644	49.4	7.78	3.89	0.044
19646	76.9	7.86	3.46	3.26
19649	116.0	6.07	5.25	7.65
19661	92.7	6.56	9.34	2.8
19664	88.8	9.75	2.84	4.0
19666	149.0	9.5	3.17	10.4
19667	90.4	5.63	10.2	2.5
19673	79.2	3.56	12.4	1.3
19674	111.0	4.0	18.5	2.2
19679	91.9	2.5	16.7	1.3
19685	198.0	2.69	14.9	13.0
23534	146.0	3.81	24.8	3.4
23536	143.0	3.19	25.4	3.1
39001	126.0	3.32	17.4	4.66
39200	130.0	3.32	19.9	3.93
39206	150.0	5.31	21.3	4.4
39209	132.0	4.35	20.6	3.6
39211	176.0	4.23	19.4	8.88
39212	126.0	3.27	21.4	3.01
39213	272.0	4.37	16.6	20.8
39214	132.0	3.63	21.1	3.62
39215	129.0	4.87	19.8	3.31
39218	121.0	3.39	19.4	3.23
39228	53.1	6.13	5.51	0.3
39229	105.0	3.0	14.4	3.6
39230	133.0	3.35	17.9	5.1
39235	186.0	3.55	20.0	10.1
39246	116.0	2.87	17.8	3.69
39247	117.0	2.86	18.6	3.47
39505	135.0	3.42	21.4	3.52
39506	138.0	3.18	21.8	3.42
39511	133.0	3.35	18.0	5.07
19689	330.0	4.57	31.7	20.3
19698	241.0	4.25	30.4	9.8
19852	207.0	2.13	34.4	6.5
23474	273.0	5.51	34.3	12.2
23535	150.0	2.85	27.4	3.03
39210	303.0	6.39	25.6	18.6
39216	192.0	5.11	27.2	6.51
39220	147.0	1.5	16.0	8.1
39232	115.0	4.2	20.0	1.9
39234	364.0	6.86	41.9	18.1
39236	218.0	6.0	29.0	8.45
39400	87.8	4.46	8.05	4.19
39710	120.0	3.79	18.0	3.6
19692	86.7	3.0	12.9	2.3
19693	44.7	4.13	2.05	1.9
19694	42.0	3.94	1.1	2.1
19695	78.0	3.63	11.0	1.7
19696	56.0	4.0	2.85	2.8
20911	95.0	3.56	15.3	1.9
20921	93.1	3.0	16.0	1.7
20922	148.0	2.0	15.8	8.0
20923	76.6	0.5	16.0	1.0
39248	262.0	6.69	24.3	14.0
12999	338.0	21.3	0.56	27.4
12034	320.0	20.2	0.0	26.5
12100	390.0	27.4	0.0	30.8
12828	190.0	9.91	4.3	14.8
12300	246.0	13.8	5.34	18.5
12310	242.0	10.4	6.38	19.3
12320	311.0	8.88	1.78	29.6
12325	151.0	13.6	0.5	10.5
12060	270.0	16.0	1.42	21.7
12063	283.0	17.3	0.16	23.4
12066	285.0	14.8	0.65	24.3
12315	255.0	5.25	4.24	23.9
19530	366.0	7.5	4.24	35.3
19590	227.0	16.1	0.75	17.7
19591	260.0	14.3	0.24	22.3
1027	175.0	12.8	1.05	13.1
1028	441.0	14.5	15.2	35.3
1029	272.0	0.5	21.2	20.1
19402	269.0	2.82	2.87	26.0
19410	304.0	2.94	2.8	30.7
19415	297.0	2.44	1.94	30.7
19420	308.0	2.06	10.6	28.2
19430	194.0	2.56	2.89	18.7
19431	166.0	2.75	3.0	15.3
19433	76.2	3.19	5.28	4.3
2000	52.3	0.41	11.9	0.096
2004	47.0	0.52	9.58	0.14
2012	45.6	0.63	9.59	0.13
2014	48.5	0.24	11.3	0.098
2015	40.9	0.52	8.41	0.1
2016	69.2	0.25	16.3	0.057
2019	68.8	0.31	16.0	0.11
2026	23.2	0.88	4.13	0.17
2027	42.5	0.49	8.89	0.083
2032	20.1	0.88	3.31	0.11
2035	48.9	0.5	11.2	0.3
2053	21.7	0.88	3.72	0.14
2070	45.4	0.61	9.61	0.11
2072	46.9	0.51	9.32	0.14
2073	52.9	0.41	12.1	0.074
2074	48.9	0.17	11.4	0.14
2075	21.7	0.72	4.66	0.13
2077	47.1	0.54	10.5	0.13
2061	49.7	0.3	11.5	0.089
18011	15.2	0.5	3.33	0.3
18018	41.8	0.093	10.2	0.062
18019	46.6	0.067	11.3	0.028
18025	9.46	0.5	1.45	0.3
18026	37.1	0.14	8.67	0.078
18048	46.6	0.068	11.2	0.03
18060	1.3	0.081	0.11	0.053
18062	27.3	0.028	6.11	0.0092
18063	30.7	0.089	7.45	0.059
18068	0.87	0.0	0.2	0.0
18075	27.3	0.033	6.76	0.022
18343	47.5	0.56	9.63	0.3
19122	63.8	2.7	10.8	0.99
19127	52.6	2.13	10.0	0.45
18041	188.0	1.77	3.4	18.4
18107	36.3	1.06	0.68	3.2
18110	44.4	0.69	3.96	2.8
18900	37.1	3.63	0.7	2.07
18901	44.2	3.75	2.18	2.05
18902	60.5	3.25	7.24	1.92
18903	42.8	3.3	2.89	1.8
18904	53.7	0.5	10.8	1.0
